"Guid","AccountId","Comments","Description","EngineeringReqNumber__c","IsEscalated","Origin","ParentId","PotentialLiability__c","Priority","Product__c","Reason","SLAViolation__c","Status","Subject","SuppliedCompany","SuppliedEmail","SuppliedName","SuppliedPhone","Type"
0081790b-9db1-4959-b29d-e8d38df226cd,0ef6dc69-b6a3-472f-8860-01818a5d37a9,"#N/A","#N/A",784532,false,Phone,"#N/A",No,Medium,GC5020,Other,No,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
019fa229-32be-4017-a5cd-f70d60977f83,9501a703-d5cf-44e7-a931-0bc785826a67,"#N/A","#N/A",354982,false,Web,"#N/A",Yes,Medium,GC3060,Breakdown,No,Closed,Frequent mechanical breakdown,"#N/A","#N/A","#N/A","#N/A",Mechanical
1f8d4b85-706b-4032-bec4-58e91ae75cb0,0651f388-5293-4195-b0c0-1d2f88f480be,"#N/A","#N/A",651375,false,Web,"#N/A",No,Low,GC5020,Feedback,No,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
3cd21056-c19e-4809-9b7e-0d7623e91678,bee66984-8eb2-4808-8e01-0136527498a6,"#N/A","#N/A",265794,false,Phone,"#N/A",No,High,GC5060,Other,No,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
5c4b9ceb-1427-46d7-ad46-c8ed2ce87b6a,f4dc2bde-54a6-4b56-ba9d-21027ea26e16,"#N/A","#N/A",526714,false,Phone,"#N/A",No,Medium,GC1040,Equipment Complexity,No,Closed,Cannot start generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
6626e274-4915-432d-bbb8-8f6db6731240,bee66984-8eb2-4808-8e01-0136527498a6,"#N/A","#N/A",572546,false,Phone,"#N/A",No,Medium,GC5040,Equipment Design,No,Closed,Motor design hindering performance,"#N/A","#N/A","#N/A","#N/A",Electrical
6f536764-a7fe-487e-8608-5cbb38333b5d,3e83eb66-1c25-4a86-95f0-8edfd7690cdb,"#N/A","#N/A",835735,false,Phone,"#N/A",No,Medium,GC1040,Breakdown,No,Closed,Structural breakdown of rotor assembly,"#N/A","#N/A","#N/A","#N/A",Structural
7d8b1593-4277-41c1-a9a4-ff3f73941c64,d824bf99-4b85-4ede-9d4f-ae46a0d908c7,"#N/A","#N/A",347209,false,Web,"#N/A",Yes,Medium,GC1020,Breakdown,Yes,Closed,Repeated motor breakdown while shutting off,"#N/A","#N/A","#N/A","#N/A",Electrical
7e61f4dc-6c2e-4465-aab3-d21370405970,3e83eb66-1c25-4a86-95f0-8edfd7690cdb,"#N/A","#N/A","#N/A",false,Web,"#N/A",No,Low,GC1020,Feedback,No,Closed,Customer service for portable generators needs beefing up,"#N/A","#N/A","#N/A","#N/A",Other
7f11d4b8-be40-4094-b5fd-4ab195ccc657,bee66984-8eb2-4808-8e01-0136527498a6,"#N/A","#N/A",435143,false,Phone,"#N/A",Yes,High,GC3060,Installation,"#N/A",Closed,Generator GC3060 platform structure is weakening,"#N/A","#N/A","#N/A","#N/A",Structural
80c3cf30-44bf-4c0e-8e41-ad3019260a75,0eb5d846-a30d-4d89-a6f3-a27a8288741e,"#N/A","#N/A","#N/A",false,Phone,"#N/A","#N/A",Medium,"#N/A","#N/A","#N/A",Working,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
8a184059-486b-4134-ac8e-d79a7ae749ba,3e83eb66-1c25-4a86-95f0-8edfd7690cdb,"#N/A","#N/A",654623,false,Web,"#N/A",No,Medium,GC5020,Equipment Design,No,Closed,Starting up generator consumes excessive power,"#N/A","#N/A","#N/A","#N/A",Other
99ea0817-ab9a-4021-9d5e-84b8c7329bee,9501a703-d5cf-44e7-a931-0bc785826a67,"#N/A","#N/A",965884,false,Web,"#N/A",No,Medium,GC3020,Equipment Design,No,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
