Guid,LastName,FirstName,Salutation,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Phone,MobilePhone,Fax,Email,Website,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,IsUnreadByOwner,Jigsaw,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,IndividualId,SICCode__c,ProductInterest__c,Primary__c,CurrentGenerators__c,NumberofLocations__c
d15aacc7-dacb-4b5b-abb0-bcc8764d2e5b,Lind,Kesha,Ms.,Director of Vendor Relations,Farmers Coop. of Florida,321 Westcott Building,Tallahassee,FL,32306,USA,,,,(850) 644-4200,,(850) 644-4300,bertha@fcof.net,,,Web,Working - Contacted,Agriculture,Hot,9.0075E8,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
8060d741-556c-435b-8ad8-b80f7a220c7d,Mayer,Gerald,Ms,CFO,Abbott Insurance,,,VA,,USA,,,,(703) 757-1000,,,pcotton@abbottins.net,,,Web,Open - Not Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
3c72a9da-2108-4787-b1db-d3048326a059,Fadel,Douglas,Mr,"SVP, Procurement",Jackson Controls,,,,,Taiwan,,,,886-2-25474189,,,jeffg@jackson.com,,,Phone Inquiry,Open - Not Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
2d98fd7f-6149-4997-9d49-68d081adbf13,Littel,Clint,Mr,"VP, Technology",Metropolitan Health Services,,,MD,,USA,,,,(410) 381-2334,,,likeb@metro.com,,,Purchased List,Open - Not Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
5241f18e-53f0-46ee-b0f9-183e25415bf0,Gerhold,Mckinley,Ms,CEO,International Shipping Co.,,,NC,,USA,,,,(336) 777-1970,,,patricia_feager@is.com,,,Partner Referral,Working - Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
625b8a6c-166e-4aa8-94b9-90cf5d375391,Corkery,Dorsey,Ms,CFO,Cadinal Inc.,,,IL,,USA,,,,(847) 262-5000,,,brenda@cardinal.net,,,Web,Working - Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
e355a14e-e95c-4954-acb2-dffbf430bea8,Schneider,Elmer,Ms,"VP, Finance",Emerson Transport,,,GA,,USA,,,,(770) 395-2370,,,violetm@emersontransport.com,,,Phone Inquiry,Working - Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
6950ae17-2946-4bfd-8433-c663eb22e2eb,Herman,Julia,Ms,Regional General Manager,TNR Corp.,,,CT,,USA,,,,(860) 273-0123,,,ksynder@tnr.net,,,Purchased List,Working - Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
c60ae91d-2556-4373-a31a-361fe491930f,Senger,Mica,Mr,"SVP, Production",Delphi Chemicals,,,MN,,USA,,,,(952) 346-3500,,,tom.james@delphi.chemicals.com,,,Web,Working - Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
a83877b4-9311-4623-9ecc-b15e5dd03e52,Boyer,Jackie,Ms,"SVP, Technology",Western Telecommunications Corp.,,,CA,,USA,,,,(408) 326-9000,,,shellyb@westerntelecom.com,,,Partner Referral,Working - Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
703dfa9b-6d16-4775-8ce2-6a5c39b65f4f,Baumbach,Darrell,Ms,"SVP, Technology",Hendrickson Trading,,,PA,,USA,,,,(570) 326-1571,,,pam_owenby@hendricksontrading.com,,,Partner Referral,Closed - Not Converted,,,,,,false,true,,,,,,,7267,GC5000 series,Yes,John Deere,3.0
09f8e102-6d82-40b3-b0d8-384e744c03c8,Beatty,Bettie,Mr,"VP, Facilities",Greenwich Media,,,OH,,USA,,,,(419) 289-3555,,,norm_may@greenwich.net,,,Web,Working - Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
1e93c40b-334f-4e31-9615-d5aad62b7a9a,Kuvalis,Maxima,Ms,"SVP, Administration and Finance",Pyramid Construction Inc.,,,,,France,,,,33562156600,,,pat@pyramid.net,,,Phone Inquiry,Closed - Converted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
c7bc2902-79b2-47f7-a1f1-3e658226b59e,Koch,Eboni,Mr,"SVP, Operations",Dickenson plc,,,KS,,USA,,,,(620) 241-6200,,,a_young@dickenson.com,,,Purchased List,Closed - Converted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
198d15d8-03e0-404a-9ad1-7f2e12bae874,Jakubowski,Alex,Ms,"Director, Warehouse Mgmt",Aethna Home Products,,,VA,,USA,,,,(434) 369-3100,,,kakin@athenahome.com,,,Partner Referral,Working - Contacted,,,,,,false,true,,,,,,,2768,GC5000 series,Yes,All,130.0
